iter	Passed	Remaining
531	3364	2960
532	3369	2952
533	3375	2945
534	3380	2937
535	3385	2930
536	3391	2923
537	3396	2916
538	3401	2908
539	3407	2902
540	3412	2895
541	3417	2887
542	3424	2881
543	3429	2874
544	3434	2867
545	3440	2861
546	3446	2853
547	3450	2846
548	3457	2839
549	3462	2832
550	3467	2825
551	3473	2819
552	3478	2811
553	3483	2804
554	3489	2797
555	3494	2790
556	3499	2783
557	3505	2777
558	3510	2769
559	3515	2762
560	3522	2756
561	3527	2749
562	3532	2741
563	3539	2736
564	3545	2729
565	3549	2722
566	3556	2715
567	3561	2708
568	3566	2701
569	3572	2694
570	3577	2687
571	3582	2680
572	3588	2674
573	3593	2667
574	3599	2660
575	3604	2653
576	3609	2646
577	3615	2639
578	3621	2633
579	3626	2626
580	3632	2619
581	3638	2612
582	3643	2606
583	3650	2600
584	3655	2593
585	3660	2586
586	3666	2579
587	3671	2572
588	3676	2565
589	3682	2558
590	3687	2552
591	3692	2544
592	3698	2538
593	3703	2531
594	3708	2524
595	3713	2517
596	3719	2511
597	3724	2503
598	3729	2496
599	3735	2490
600	3740	2483
601	3745	2476
602	3752	2470
603	3757	2463
604	3762	2456
605	3768	2450
606	3773	2443
607	3779	2436
608	3784	2429
609	3789	2422
610	3795	2416
611	3800	2409
612	3805	2402
613	3811	2396
614	3816	2389
615	3821	2382
616	3828	2376
617	3833	2369
618	3838	2362
619	3844	2356
620	3851	2350
621	3857	2344
622	3864	2338
623	3870	2331
624	3875	2325
625	3881	2319
626	3886	2312
627	3892	2305
628	3897	2299
629	3903	2292
630	3907	2285
631	3913	2279
632	3919	2272
633	3925	2265
634	3931	2259
635	3937	2253
636	3943	2247
637	3948	2240
638	3954	2233
639	3960	2227
640	3965	2220
641	3970	2214
642	3976	2207
643	3982	2201
644	3987	2194
645	3994	2188
646	3999	2181
647	4004	2175
648	4010	2169
649	4015	2162
650	4021	2155
651	4026	2149
652	4031	2142
653	4036	2135
654	4043	2129
655	4048	2123
656	4053	2116
657	4060	2110
658	4066	2103
659	4071	2097
660	4077	2091
661	4082	2084
662	4088	2078
663	4093	2071
664	4099	2064
665	4104	2058
666	4110	2052
667	4115	2045
668	4121	2039
669	4126	2032
670	4132	2025
671	4137	2019
672	4143	2013
673	4148	2006
674	4154	2000
675	4159	1993
676	4164	1987
677	4170	1980
678	4176	1974
679	4181	1967
680	4188	1961
681	4193	1955
682	4198	1948
683	4205	1942
684	4210	1935
685	4214	1929
686	4220	1922
687	4225	1916
688	4230	1909
689	4236	1903
690	4241	1896
691	4246	1890
692	4252	1883
693	4257	1877
694	4262	1870
695	4268	1864
696	4274	1858
697	4279	1851
698	4285	1845
699	4290	1838
700	4295	1832
701	4301	1826
702	4306	1819
703	4312	1813
704	4318	1806
705	4322	1800
706	4327	1793
707	4332	1787
708	4338	1780
709	4344	1774
710	4351	1768
711	4358	1762
712	4363	1756
713	4369	1750
714	4375	1744
715	4381	1737
716	4387	1731
717	4392	1725
718	4398	1719
719	4404	1712
720	4410	1706
721	4415	1700
722	4421	1693
723	4426	1687
724	4431	1680
725	4436	1674
726	4441	1667
727	4447	1661
728	4453	1655
729	4458	1649
730	4465	1643
731	4471	1636
732	4475	1630
733	4482	1624
734	4487	1618
735	4492	1611
736	4500	1606
737	4506	1599
738	4512	1593
739	4518	1587
740	4523	1580
741	4528	1574
742	4534	1568
743	4539	1561
744	4544	1555
745	4550	1549
746	4556	1543
747	4562	1536
748	4567	1530
749	4573	1524
750	4579	1518
751	4584	1511
752	4589	1505
753	4595	1499
754	4600	1492
755	4605	1486
756	4611	1480
757	4616	1474
758	4621	1467
759	4627	1461
760	4633	1455
761	4638	1448
762	4644	1442
763	4649	1436
764	4654	1429
765	4659	1423
766	4665	1417
767	4670	1410
768	4676	1404
769	4681	1398
770	4686	1392
771	4692	1385
772	4698	1379
773	4703	1373
774	4710	1367
775	4715	1361
776	4720	1354
777	4726	1348
778	4731	1342
779	4735	1335
780	4740	1329
781	4746	1323
782	4750	1316
783	4756	1310
784	4762	1304
785	4767	1297
786	4773	1292
787	4779	1285
788	4784	1279
789	4789	1273
790	4795	1267
791	4801	1260
792	4807	1255
793	4812	1248
794	4818	1242
795	4824	1236
796	4829	1230
797	4834	1223
798	4840	1217
799	4845	1211
800	4851	1205
801	4856	1199
802	4862	1192
803	4867	1186
804	4873	1180
805	4878	1174
806	4883	1167
807	4889	1161
808	4894	1155
809	4899	1149
810	4905	1143
811	4911	1137
812	4916	1130
813	4922	1124
814	4927	1118
815	4932	1112
816	4938	1106
817	4943	1099
818	4949	1093
819	4954	1087
820	4959	1081
821	4964	1075
822	4970	1069
823	4975	1062
824	4980	1056
825	4986	1050
826	4991	1044
827	4996	1037
828	5002	1031
829	5008	1025
830	5013	1019
831	5019	1013
832	5025	1007
833	5030	1001
834	5036	995
835	5041	988
836	5047	982
837	5053	976
838	5058	970
839	5063	964
840	5069	958
841	5074	952
842	5079	946
843	5086	940
844	5091	933
845	5096	927
846	5102	921
847	5107	915
848	5112	909
849	5119	903
850	5124	897
851	5130	891
852	5137	885
853	5142	879
854	5147	872
855	5153	866
856	5158	860
857	5163	854
858	5170	848
859	5175	842
860	5180	836
861	5186	830
862	5191	824
863	5196	817
864	5201	811
865	5206	805
866	5211	799
867	5219	793
868	5224	787
869	5229	781
870	5236	775
871	5241	769
872	5246	763
873	5252	757
874	5257	751
875	5262	744
876	5268	738
877	5273	732
878	5278	726
879	5284	720
880	5289	714
881	5294	708
882	5300	702
883	5305	696
884	5310	690
885	5317	684
886	5322	678
887	5326	671
888	5333	665
889	5339	659
890	5344	653
891	5350	647
892	5355	641
893	5360	635
894	5366	629
895	5371	623
896	5376	617
897	5383	611
898	5388	605
899	5393	599
900	5399	593
901	5404	587
902	5409	581
903	5415	575
904	5420	569
905	5425	562
906	5432	557
907	5437	550
908	5442	544
909	5448	538
910	5453	532
911	5458	526
912	5464	520
913	5469	514
914	5474	508
915	5481	502
916	5486	496
917	5491	490
918	5497	484
919	5502	478
920	5507	472
921	5513	466
922	5518	460
923	5523	454
924	5530	448
925	5536	442
926	5541	436
927	5547	430
928	5552	424
929	5558	418
930	5565	412
931	5570	406
932	5577	400
933	5582	394
934	5587	388
935	5592	382
936	5597	376
937	5602	370
938	5608	364
939	5614	358
940	5619	352
941	5625	346
942	5630	340
943	5635	334
944	5641	328
945	5646	322
946	5651	316
947	5658	310
948	5663	304
949	5667	298
950	5674	292
951	5679	286
952	5684	280
953	5689	274
954	5694	268
955	5699	262
956	5705	256
957	5710	250
958	5715	244
959	5720	238
960	5726	232
961	5732	226
962	5737	220
963	5743	214
964	5748	208
965	5753	202
966	5759	196
967	5765	190
968	5770	184
969	5776	178
970	5780	172
971	5785	166
972	5791	160
973	5797	154
974	5802	148
975	5808	142
976	5813	136
977	5819	130
978	5824	124
979	5829	118
980	5835	113
981	5840	107
982	5845	101
983	5851	95
984	5857	89
985	5863	83
986	5870	77
987	5875	71
988	5880	65
989	5887	59
990	5892	53
991	5897	47
992	5903	41
993	5909	35
994	5914	29
995	5958	23
996	5972	17
997	5981	11
998	5992	5
999	5998	0
